國文,英文,數學,社會,自然
15,10,7,7,8
10,9,6,7,11
10,9,6,13,13
14,12,13,10,14
8,9,12,10,13
12,8,6,14,8
13,12,6,7,15
10,11,7,15,13
14,12,10,15,11
12,9,14,9,15
12,7,8,9,10
11,11,14,11,6
13,10,12,9,10
7,14,12,7,12
7,8,15,11,13
11,7,13,15,9
15,8,6,13,6
12,15,12,12,13
6,7,12,6,6
11,14,6,15,7
12,12,8,13,7
10,6,14,14,14
7,13,6,9,10
7,11,11,12,6
14,12,13,7,14
9,7,6,7,10
9,14,14,10,15
8,15,14,14,6
14,7,7,9,8
9,8,6,10,9
13,11,15,13,8
11,9,11,15,9
11,9,11,10,8
14,15,15,7,13
15,12,7,10,15
7,12,6,13,15
14,15,11,6,14
14,12,8,13,15
6,7,9,12,11
14,8,13,6,12
15,11,13,15,15
14,14,9,8,11
13,9,15,15,13
14,13,15,7,10
9,8,12,14,15
12,15,12,12,12
8,10,15,8,12
11,9,13,6,13
8,15,9,15,11
13,11,11,7,10
8,15,7,11,9
9,12,8,11,11
12,9,7,12,15
11,6,14,14,11
13,6,10,9,12
11,6,9,8,11
13,7,13,12,8
11,13,8,15,9
13,10,12,6,12
14,13,15,12,9
12,10,12,12,6
12,8,7,9,8
11,12,8,12,6
9,13,7,13,15
11,8,15,14,8
15,7,8,10,7
14,11,11,14,12
6,7,12,7,13
8,10,8,8,10
13,8,8,11,13
13,8,8,9,12
14,6,12,6,11
13,6,8,13,10
11,11,9,15,14
8,7,9,10,10
9,6,14,10,8
11,8,9,14,6
6,15,11,6,8
9,14,13,10,12
7,10,12,14,10
11,12,7,9,13
8,7,10,9,13
12,12,6,9,8
10,8,13,15,7
6,7,8,6,15
9,9,9,7,13
12,8,15,15,12
12,6,9,12,8
10,10,8,13,13
13,9,8,8,8
15,11,14,9,13
15,13,12,13,6
12,6,11,11,12
13,10,6,8,10
6,8,8,6,11
6,10,6,10,14
13,13,10,13,10
9,10,8,13,9
10,15,12,15,14
13,8,10,7,15
